Ano,Categoria,Produto,Quantidade(L)
1975,OUTROS PRODUTOS COMERCIALIZADOS,Brandy (conhaque),11.418.527
1975,OUTROS PRODUTOS COMERCIALIZADOS,Cooler,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Coquetel com vinho,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Destilado de vinho,1.793.135
1975,OUTROS PRODUTOS COMERCIALIZADOS,Filtrado doce,1.353.194
1975,OUTROS PRODUTOS COMERCIALIZADOS,Jeropiga,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Mistelas,272.141
1975,OUTROS PRODUTOS COMERCIALIZADOS,Mosto concentrado,251.197
1975,OUTROS PRODUTOS COMERCIALIZADOS,Mosto de uva,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Mosto sulfitado,34.300
1975,OUTROS PRODUTOS COMERCIALIZADOS,Nectar de uva,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Outros produtos,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Polpa de uva,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Preparado líquido para refresco,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Refrigerante +50% suco,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Sangria,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Vinagre balsamico,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Vinagre duplo,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Vinagre simples,1.574.960
1975,OUTROS PRODUTOS COMERCIALIZADOS,Vinho acetificado,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Vinho base para espumantes,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Vinho composto,3.493.104
1975,OUTROS PRODUTOS COMERCIALIZADOS,Vinho licoroso,2.205.036
1975,OUTROS PRODUTOS COMERCIALIZADOS,Vinho leve,-
1975,OUTROS PRODUTOS COMERCIALIZADOS,Vinho gaseificado,-
1976,VINHO DE MESA,Tinto,116.407.222
1976,VINHO DE MESA,Rosado,11.748.047
1976,VINHO DE MESA,Branco,11.083.345
1976,VINHO FINO DE MESA,Tinto,4.450.570
1976,VINHO FINO DE MESA,Rosado,3.118.919
1976,VINHO FINO DE MESA,Branco,6.526.159
1976,VINHO ESPECIAL,Tinto,4.819.463
1976,VINHO ESPECIAL,Rosado,4.231.765
1976,VINHO ESPECIAL,Branco,3.341.497
1976,ESPUMANTES,Espumante  Moscatel,-
1976,ESPUMANTES,Espumante,-
1976,ESPUMANTES,Espumante Orgânico,-
1976,SUCO DE UVAS,Suco Natural Integral,-
1976,SUCO DE UVAS,Suco Adoçado,-
1976,SUCO DE UVAS,Suco Reprocessado/reconstituido,-
1976,SUCO DE UVAS,Suco Orgânico,-
1976,SUCO DE UVAS,Outros sucos de uvas,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Outros vinhos (sem informação detalhada),-
1976,OUTROS PRODUTOS COMERCIALIZADOS,"Agrin (fermentado, acetico misto)",-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Aguardente de vinho 50°gl,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Alcool vinico,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Bagaceira (graspa),698.399
1976,OUTROS PRODUTOS COMERCIALIZADOS,Base champenoise champanha,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Base charmat champanha,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Base espumante moscatel,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Bebida de uva,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Borra líquida,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Borra seca,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Brandy (conhaque),14.938.849
1976,OUTROS PRODUTOS COMERCIALIZADOS,Cooler,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Coquetel com vinho,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Destilado de vinho,1.373.075
1976,OUTROS PRODUTOS COMERCIALIZADOS,Filtrado doce,1.792.832
1976,OUTROS PRODUTOS COMERCIALIZADOS,Jeropiga,48.203
1976,OUTROS PRODUTOS COMERCIALIZADOS,Mistelas,88.300
1976,OUTROS PRODUTOS COMERCIALIZADOS,Mosto concentrado,309.196
1976,OUTROS PRODUTOS COMERCIALIZADOS,Mosto de uva,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Mosto sulfitado,420.300
1976,OUTROS PRODUTOS COMERCIALIZADOS,Nectar de uva,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Outros produtos,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Polpa de uva,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Preparado líquido para refresco,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Refrigerante +50% suco,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Sangria,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Vinagre balsamico,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Vinagre duplo,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Vinagre simples,748.459
1976,OUTROS PRODUTOS COMERCIALIZADOS,Vinho acetificado,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Vinho base para espumantes,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Vinho composto,5.429.800
1976,OUTROS PRODUTOS COMERCIALIZADOS,Vinho licoroso,2.474.364
1976,OUTROS PRODUTOS COMERCIALIZADOS,Vinho leve,-
1976,OUTROS PRODUTOS COMERCIALIZADOS,Vinho gaseificado,-
1977,VINHO DE MESA,Tinto,116.609.545
1977,VINHO DE MESA,Rosado,15.195.525
1977,VINHO DE MESA,Branco,9.008.044
1977,VINHO FINO DE MESA,Tinto,4.504.303
1977,VINHO FINO DE MESA,Rosado,3.248.565
1977,VINHO FINO DE MESA,Branco,7.222.462
1977,VINHO ESPECIAL,Tinto,3.959.050
1977,VINHO ESPECIAL,Rosado,4.034.615
1977,VINHO ESPECIAL,Branco,3.576.011
1977,ESPUMANTES,Espumante  Moscatel,-
1977,ESPUMANTES,Espumante,-
1977,ESPUMANTES,Espumante Orgânico,-
1977,SUCO DE UVAS,Suco Natural Integral,-
1977,SUCO DE UVAS,Suco Adoçado,-
1977,SUCO DE UVAS,Suco Reprocessado/reconstituido,-
1977,SUCO DE UVAS,Suco Orgânico,-
1977,SUCO DE UVAS,Outros sucos de uvas,-
1977,OUTROS PRODUTOS COMERCIALIZADOS,Outros vinhos (sem informação detalhada),-
1977,OUTROS PRODUTOS COMERCIALIZADOS,"Agrin (fermentado, acetico misto)",-
1977,OUTROS PRODUTOS COMERCIALIZADOS,Aguardente de vinho 50°gl,-
1977,OUTROS PRODUTOS COMERCIALIZADOS,Alcool vinico,-
1977,OUTROS PRODUTOS COMERCIALIZADOS,Bagaceira (graspa),595.137
1977,OUTROS PRODUTOS COMERCIALIZADOS,Base champenoise champanha,-
1977,OUTROS PRODUTOS COMERCIALIZADOS,Base charmat champanha,-
1977,OUTROS PRODUTOS COMERCIALIZADOS,Base espumante moscatel,-
