Ano,Categoria,Produto,Quantidade(L.)
1974,DERIVADOS,Bebida de uva,-
1974,DERIVADOS,Polpa de uva,-
1974,DERIVADOS,Mosto simples,41.346.735
1974,DERIVADOS,Mosto concentrado,-
1974,DERIVADOS,Mosto de uva com bagaço,-
1974,DERIVADOS,Mosto dessulfitado,-
1974,DERIVADOS,Mistelas,826.300
1974,DERIVADOS,Néctar de uva,-
1974,DERIVADOS,Licorosos,135.000
1974,DERIVADOS,Compostos,-
1974,DERIVADOS,Jeropiga,-
1974,DERIVADOS,Filtrado,-
1974,DERIVADOS,Frisante,-
1974,DERIVADOS,Vinho leve,-
1974,DERIVADOS,Vinho licoroso,-
1974,DERIVADOS,Brandy,-
1974,DERIVADOS,Destilado,-
1974,DERIVADOS,Bagaceira,424.620
1974,DERIVADOS,Licor de bagaceira,-
1974,DERIVADOS,Vinagre,35.300
1974,DERIVADOS,Borra líquida,5.136.979
1974,DERIVADOS,Borra seca,-
1974,DERIVADOS,Vinho Composto,-
1974,DERIVADOS,Pisco,-
1974,DERIVADOS,Vinho orgânico,-
1974,DERIVADOS,Espumante orgânico,-
1974,DERIVADOS,Destilado alcoólico simples de bagaceira,-
1974,DERIVADOS,Vinho acidificado,-
1974,DERIVADOS,Mosto parcialmente fermentado,-
1974,DERIVADOS,Outros derivados,-
1975,VINHO DE MESA,-,177.401.209
1975,VINHO DE MESA,Tinto,144.274.134
1975,VINHO DE MESA,Branco,1.441.507
1975,VINHO DE MESA,Rosado,31.685.568
1975,VINHO FINO DE MESA (VINIFERA),-,39.424.590
1975,VINHO FINO DE MESA (VINIFERA),Tinto,14.731.106
1975,VINHO FINO DE MESA (VINIFERA),Branco,21.933.695
1975,VINHO FINO DE MESA (VINIFERA),Rosado,2.759.789
1975,SUCO,-,-
1975,SUCO,Suco de uva integral,-
1975,SUCO,Suco de uva concentrado,-
1975,SUCO,Suco de uva adoçado,-
1975,SUCO,Suco de uva orgânico,-
1975,SUCO,Suco de uva reconstituído,-
1975,DERIVADOS,-,53.633.143
1975,DERIVADOS,Espumante,-
1975,DERIVADOS,Espumante moscatel,-
1975,DERIVADOS,Base espumante,-
1975,DERIVADOS,Base espumante moscatel,-
1975,DERIVADOS,Base Champenoise champanha,-
1975,DERIVADOS,Base Charmat champanha,-
1975,DERIVADOS,Bebida de uva,-
1975,DERIVADOS,Polpa de uva,-
1975,DERIVADOS,Mosto simples,48.185.206
1975,DERIVADOS,Mosto concentrado,-
1975,DERIVADOS,Mosto de uva com bagaço,-
1975,DERIVADOS,Mosto dessulfitado,-
1975,DERIVADOS,Mistelas,223.000
1975,DERIVADOS,Néctar de uva,-
1975,DERIVADOS,Licorosos,24.000
1975,DERIVADOS,Compostos,-
1975,DERIVADOS,Jeropiga,-
1975,DERIVADOS,Filtrado,-
1975,DERIVADOS,Frisante,-
1975,DERIVADOS,Vinho leve,-
1975,DERIVADOS,Vinho licoroso,-
1975,DERIVADOS,Brandy,-
1975,DERIVADOS,Destilado,-
1975,DERIVADOS,Bagaceira,576.098
1975,DERIVADOS,Licor de bagaceira,-
1975,DERIVADOS,Vinagre,-
1975,DERIVADOS,Borra líquida,4.624.839
1975,DERIVADOS,Borra seca,-
1975,DERIVADOS,Vinho Composto,-
1975,DERIVADOS,Pisco,-
1975,DERIVADOS,Vinho orgânico,-
1975,DERIVADOS,Espumante orgânico,-
1975,DERIVADOS,Destilado alcoólico simples de bagaceira,-
1975,DERIVADOS,Vinho acidificado,-
1975,DERIVADOS,Mosto parcialmente fermentado,-
1975,DERIVADOS,Outros derivados,-
1976,VINHO DE MESA,-,144.565.438
1976,VINHO DE MESA,Tinto,118.360.170
1976,VINHO DE MESA,Branco,1.871.473
1976,VINHO DE MESA,Rosado,24.333.795
1976,VINHO FINO DE MESA (VINIFERA),-,34.500.590
1976,VINHO FINO DE MESA (VINIFERA),Tinto,12.405.154
1976,VINHO FINO DE MESA (VINIFERA),Branco,19.874.659
1976,VINHO FINO DE MESA (VINIFERA),Rosado,2.220.777
1976,SUCO,-,-
1976,SUCO,Suco de uva integral,-
1976,SUCO,Suco de uva concentrado,-
1976,SUCO,Suco de uva adoçado,-
1976,SUCO,Suco de uva orgânico,-
1976,SUCO,Suco de uva reconstituído,-
1976,DERIVADOS,-,22.925.012
1976,DERIVADOS,Espumante,-
1976,DERIVADOS,Espumante moscatel,-
1976,DERIVADOS,Base espumante,-
1976,DERIVADOS,Base espumante moscatel,-
1976,DERIVADOS,Base Champenoise champanha,-
1976,DERIVADOS,Base Charmat champanha,-
1976,DERIVADOS,Bebida de uva,-
1976,DERIVADOS,Polpa de uva,-
1976,DERIVADOS,Mosto simples,18.220.527
1976,DERIVADOS,Mosto concentrado,-
1976,DERIVADOS,Mosto de uva com bagaço,-
1976,DERIVADOS,Mosto dessulfitado,-
1976,DERIVADOS,Mistelas,205.500
1976,DERIVADOS,Néctar de uva,-
1976,DERIVADOS,Licorosos,4.400
1976,DERIVADOS,Compostos,-
1976,DERIVADOS,Jeropiga,107.500
1976,DERIVADOS,Filtrado,-
1976,DERIVADOS,Frisante,-
1976,DERIVADOS,Vinho leve,-
1976,DERIVADOS,Vinho licoroso,-
1976,DERIVADOS,Brandy,-
1976,DERIVADOS,Destilado,-
1976,DERIVADOS,Bagaceira,705.912
1976,DERIVADOS,Licor de bagaceira,-
1976,DERIVADOS,Vinagre,288.000
1976,DERIVADOS,Borra líquida,3.393.173
1976,DERIVADOS,Borra seca,-
1976,DERIVADOS,Vinho Composto,-
1976,DERIVADOS,Pisco,-
